famille;produit;cote_2026;derniere_vente;adj_min;adj_max;nb_adj;vivante;adjudications (date:prix);id
Éditions limitées;Chartreuse Jaune - Reine des Liqueurs Mise 2019 - 2019 bouteilles;410.71;2025-04-18;334.0;346.0;2;oui;2025-03-14:334 | 2025-04-18:346;231247
Éditions limitées;Chartreuse Jaune - Reine des Liqueurs Mise 2020 - 1350 bouteilles marché export;357.6;2024-03-08;274.0;298.0;4;non;2024-03-08:274 | 2024-03-08:286 | 2024-03-08:286 | 2024-03-08:298;231267
Éditions limitées;Chartreuse Jaune - Reine des Liqueurs Mise 2020 - 2020 bouteilles;389.1;2025-03-14;310.0;334.0;2;oui;2025-03-14:334 | 2025-03-14:310;231249
Éditions limitées;Chartreuse Jaune - Reine des Liqueurs Mise 2021 - 1700 bouteilles marché export;357.6;2024-04-19;274.0;346.0;4;non;2024-03-08:274 | 2024-03-08:274 | 2024-03-08:286 | 2024-04-19:346;231268
Éditions limitées;Chartreuse Jaune - Reine des Liqueurs Mise 2021 - 2500 bouteilles;389.1;2025-06-06;286.0;334.0;4;oui;2025-04-18:286 | 2025-04-18:298 | 2025-06-06:322 | 2025-06-06:334;214488
Éditions limitées;Chartreuse Jaune - Reine des Liqueurs Mise 2022 - 1700 bouteilles marché export;309.64;2022-12-09;283.0;283.0;1;non;2022-12-09:283;209451
Éditions limitées;Chartreuse Jaune - Reine des Liqueurs Mise 2022 - 2400 bouteilles;374.69;2025-06-06;274.0;346.0;4;oui;2025-03-14:334 | 2025-04-18:286 | 2025-04-18:274 | 2025-06-06:346;215009
Éditions limitées;Chartreuse Jaune - Reine des Liqueurs Mise 2023 - 1700 bouteilles;374.69;2025-11-14;286.0;322.0;3;oui;2024-03-08:286 | 2025-01-24:298 | 2025-11-14:322;231236
Éditions limitées;Chartreuse Jaune - Reine des Liqueurs Mise 2023 - 2400 bouteilles;331.45;2025-04-18;274.0;334.0;2;oui;2024-11-15:334 | 2025-04-18:274;232884
Éditions limitées;Chartreuse Jaune 1903-2003 Commémorative de l'arrivée à Tarragone;1490.01;2026-07-17;1192.0;1788.0;4;oui;2023-07-21:1550 | 2024-01-19:1192 | 2025-12-12:1490 | 2026-07-17:1788;224370
Éditions limitées;Chartreuse Jaune Edition Cuivre - Mise 2021 3L.;2125.62;2025-12-12;1609.0;1907.0;3;oui;2025-03-14:1609 | 2025-04-18:1907 | 2025-12-12:1907;215869
Éditions limitées;Chartreuse Jaune Fêtes de la Chartreuse 2021 Edition Limitée;87.17;2024-03-08;61.0;79.0;2;non;2024-03-08:61 | 2024-03-08:79;231240
Éditions limitées;Chartreuse Jaune Les Fêtes de la Chartreuse 2023 Edition Limitée;67.05;2024-08-02;42.0;50.0;4;non;2024-08-02:42 | 2024-08-02:50 | 2024-08-02:50 | 2024-08-02:50;222769
Éditions limitées;Chartreuse Jaune Santa Tecla 2004 - One of 4000;745.01;2024-04-19;596.0;596.0;2;non;2024-04-19:596 | 2024-04-19:596;231389
Éditions limitées;Chartreuse Jaune Santa Tecla 2006 Serie Limitada;438.65;2022-02-11;401.0;401.0;1;non;2022-02-11:401;180303
Éditions limitées;Chartreuse Jaune Santa Tecla 2007 Serie Limitada;412.84;2022-02-11;378.0;378.0;1;non;2022-02-11:378;180304
Éditions limitées;Chartreuse Jaune Santa Tecla 2008 Serie Limitada;412.84;2022-02-11;378.0;378.0;1;non;2022-02-11:378;180305
Éditions limitées;Chartreuse Jaune Santa Tecla 2011 Serie Limitada;283.83;2022-02-11;260.0;260.0;1;non;2022-02-11:260;180307
Éditions limitées;Chartreuse Jaune Santa Tecla 2012 Serie Limitada;193.52;2022-02-11;177.0;177.0;1;non;2022-02-11:177;180308
Éditions limitées;Chartreuse Jaune Santa Tecla 2017 Serie Limitada;178.8;2024-03-08;131.0;143.0;3;non;2024-01-19:143 | 2024-03-08:131 | 2024-03-08:143;230716
Éditions limitées;Chartreuse Jaune Santa Tecla 2018 Serie Limitada;163.9;2024-04-19;119.0;191.0;4;non;2024-03-08:119 | 2024-03-08:131 | 2024-03-08:131 | 2024-04-19:191;231232
Éditions limitées;Chartreuse Jaune Santa Tecla 2019 Serie Limitada;163.9;2024-12-13;131.0;203.0;4;non;2024-03-08:143 | 2024-03-08:131 | 2024-04-19:203 | 2024-12-13:203;231231
Éditions limitées;Chartreuse Jaune Santa Tecla 2020 Serie Limitada;149.01;2024-06-07;143.0;167.0;4;non;2024-04-19:167 | 2024-04-19:155 | 2024-06-07:143 | 2024-06-07:143;172316
Éditions limitées;Chartreuse Jaune Santa Tecla 2021 Serie Limitada;149.01;2024-03-08;119.0;131.0;3;non;2024-03-08:119 | 2024-03-08:119 | 2024-03-08:131;231235
Éditions limitées;Chartreuse Jaune Une Chartreuse Mise 2017;4023.03;2025-12-12;3099.0;3218.0;2;oui;2024-04-19:3218 | 2025-12-12:3099;231431
Éditions limitées;Chartreuse Liqueur d'Elixir 1605;100.88;2026-03-13;73.0;113.0;3;oui;2024-01-19:73 | 2025-06-06:83 | 2026-03-13:113;230969
Éditions limitées;Chartreuse Liqueur d'Elixir 1605 3L;461.15;2025-04-18;381.0;381.0;2;oui;2025-03-14:381 | 2025-04-18:381;229193
Éditions limitées;Chartreuse Liqueur d'Elixir 1605 Mise 2023;74.5;2024-11-15;60.0;60.0;1;non;2024-11-15:60;232883
Éditions limitées;Chartreuse Liqueur du 9e Centenaire 70cl.;206.42;2022-11-04;189.0;189.0;1;non;2022-11-04:189;204069
Éditions limitées;Chartreuse Liqueur du 9e Centenaire 75cl.;543.86;2024-03-08;435.0;435.0;1;non;2024-03-08:435;231215
Éditions limitées;Chartreuse Liqueur du 9e Centenaire Mise 2017;208.6;2024-01-19;167.0;167.0;1;non;2024-01-19:167;231004
Éditions limitées;Chartreuse Liqueur du 9e Centenaire Mise 2018;134.1;2024-01-19;107.0;107.0;1;non;2024-01-19:107;230959
Éditions limitées;Chartreuse Liqueur du 9e Centenaire Mise 2019;178.8;2024-03-08;143.0;143.0;1;non;2024-03-08:143;231233
Éditions limitées;Chartreuse Liqueur du 9e Centenaire Mise 2020;115.48;2024-06-07;83.0;107.0;4;non;2024-03-08:83 | 2024-04-19:95 | 2024-04-19:107 | 2024-06-07:107;230960
Éditions limitées;Chartreuse Liqueur du 9e Centenaire Mise 2021;111.25;2025-10-03;83.0;167.0;4;oui;2024-10-04:89 | 2024-10-04:89 | 2024-10-04:83 | 2025-10-03:167;231226
Éditions limitées;Chartreuse Liqueur du 9e Centenaire Mise 2021 3L;756.58;2025-04-18;596.0;708.0;3;oui;2023-03-17:708 | 2025-03-14:656 | 2025-04-18:596;210991
Éditions limitées;Chartreuse Liqueur du 9e Centenaire Mise 2022;107.28;2026-01-30;95.0;113.0;4;oui;2024-11-15:113 | 2024-11-15:107 | 2024-12-13:95 | 2026-01-30:107;214489
Éditions limitées;Chartreuse Liqueur du 9e Centenaire Mise 2022 3L;864.66;2025-03-14;715.0;715.0;1;oui;2025-03-14:715;234401
Éditions limitées;Chartreuse Liqueur du 9e Centenaire Mise 2024;119.2;2024-12-13;95.0;95.0;1;non;2024-12-13:95;233102
